,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
366,PBS,74.93489223,1.282216603,30,72.31625658,77.55352788,BC,DOC,30
167,PLA,78.17825785,1.282216603,30,75.5596222,80.7968935,AB,DOC,30
266,PLA/PHA,82.81607477,1.282216603,30,80.19743912,85.43471042,A,DOC,30
267,NONE,48.99062571,0.844489135,30,47.28112779,50.73048159,A,DOC,193
168,LDPE,46.35264684,0.8214381,30,44.69022542,48.04542623,AB,DOC,193
539,PBS,49.61392374,0.84984429,30,47.89348913,51.3647163,A,DOC,193
467,PLA,48.33650214,0.838832374,30,46.63855687,50.06480537,AB,DOC,193
367,PLA/PHA,45.53542661,0.814164718,30,43.88785941,47.21335176,B,DOC,193
368,NONE,142.2880405,11.58840778,30,118.6213545,165.9547265,A,cacq,5
268,LDPE,142.3415814,11.58840778,30,118.6748954,166.0082674,A,cacq,5
169,PBS,144.9451729,11.58840778,30,121.2784869,168.6118589,A,cacq,5
540,PLA,151.6148758,11.58840778,30,127.9481898,175.2815618,A,cacq,5
468,PLA/PHA,104.4260342,11.58840778,30,80.75934817,128.0927202,A,cacq,5
541,NONE,131.6798407,6.054356303,30,119.3151956,144.0444858,A,cacq,15
469,LDPE,136.1838915,6.054356303,30,123.8192464,148.5485366,A,cacq,15
369,PBS,138.9061809,6.054356303,30,126.5415358,151.2708261,A,cacq,15
269,PLA,139.6878466,6.054356303,30,127.3232015,152.0524917,A,cacq,15
170,PLA/PHA,151.7727321,6.054356303,30,139.408087,164.1373773,A,cacq,15
270,NONE,131.1716832,5.903752081,30,119.3916791,143.5058196,B,cacq,30
171,LDPE,124.418735,5.74977641,30,112.9531912,136.4384112,B,cacq,30
542,PBS,123.3185274,5.724297954,30,111.9050176,135.2861697,B,cacq,30
470,PLA,124.9540353,5.762132079,30,113.4632578,136.9989451,B,cacq,30
370,PLA/PHA,166.990821,6.661229028,30,153.6638426,180.8719318,A,cacq,30
543,NONE,118.2191537,2.668912374,30,112.7685075,123.6698,A,cacq,193
271,LDPE,113.720403,2.668912374,30,108.2697568,119.1710492,A,cacq,193
471,PBS,113.1225156,2.668912374,30,107.6718694,118.5731618,A,cacq,193
371,PLA,114.6904766,2.668912374,30,109.2398304,120.1411229,A,cacq,193
172,PLA/PHA,111.7833613,2.668912374,30,106.3327151,117.2340075,A,cacq,193
544,NONE,32.04244674,2.216994071,30,27.67468584,36.7300977,B,LAP,5
272,LDPE,33.82710212,2.277897057,30,29.33496074,38.63913357,B,LAP,5
472,PBS,32.82372937,2.243859489,30,28.40110198,37.56624684,B,LAP,5
372,PLA,33.92144625,2.281071384,30,29.42282203,38.73996054,B,LAP,5
173,PLA/PHA,126.3721127,4.402783388,30,117.5403745,135.523741,A,LAP,5
545,NONE,32.69837367,1.598301307,30,29.51566959,36.04400306,B,LAP,15
473,LDPE,33.34913128,1.614127516,30,30.13410576,36.7270821,B,LAP,15
373,PBS,34.29693917,1.636904188,30,31.03539748,37.72140615,B,LAP,15
273,PLA,35.41345613,1.663335033,30,32.09793545,38.8919021,B,LAP,15
174,PLA/PHA,173.0663175,3.677069637,30,165.6382021,180.6573582,A,LAP,15
274,NONE,34.31665264,1.664752753,30,31.00098361,37.800741,B,LAP,30
175,LDPE,32.16690481,1.611765737,30,28.9594497,35.54277925,B,LAP,30
546,PBS,32.12727063,1.61077247,30,28.92184404,35.50111654,B,LAP,30
474,PLA,33.99630076,1.656964156,30,30.69653816,37.46448268,B,LAP,30
374,PLA/PHA,211.0804311,4.128775497,30,202.7325563,219.5967252,A,LAP,30
547,NONE,24.29578429,1.758060797,30,20.70534515,27.88622343,B,LAP,193
375,LDPE,25.56090878,1.758060797,30,21.97046964,29.15134792,B,LAP,193
275,PBS,25.90731914,1.758060797,30,22.31688,29.49775828,B,LAP,193
475,PLA,25.63726223,1.758060797,30,22.04682308,29.22770137,B,LAP,193
176,PLA/PHA,201.4416502,1.758060797,30,197.851211,205.0320893,A,LAP,193
548,NONE,9.345655737,0.38069296,30,8.56817699,10.12313448,A,Ammonium,5
276,LDPE,8.623243028,0.38069296,30,7.845764281,9.400721776,AB,Ammonium,5
476,PBS,7.444060642,0.38069296,30,6.666581895,8.221539389,B,Ammonium,5
376,PLA,8.899242531,0.38069296,30,8.121763784,9.676721278,AB,Ammonium,5
177,PLA/PHA,1.635583807,0.38069296,30,0.85810506,2.413062554,C,Ammonium,5
178,NONE,1.462674052,0.139070092,30,1.178655034,1.746693071,A,Ammonium,15
377,LDPE,1.569732264,0.139070092,30,1.285713245,1.853751283,A,Ammonium,15
277,PBS,0.784301671,0.139070092,30,0.500282653,1.06832069,B,Ammonium,15
549,PLA,1.579715676,0.139070092,30,1.295696657,1.863734694,A,Ammonium,15
477,PLA/PHA,0.272792396,0.139070092,30,-0.011226623,0.556811414,B,Ammonium,15
378,NONE,0.784591256,0.164143473,30,0.449365563,1.119816949,A,Ammonium,30
550,LDPE,0.582891318,0.164143473,30,0.247665624,0.918117011,A,Ammonium,30
179,PBS,0.626399174,0.164143473,30,0.291173481,0.961624868,A,Ammonium,30
478,PLA,0.762490868,0.164143473,30,0.427265175,1.097716561,A,Ammonium,30
278,PLA/PHA,0.795740741,0.164143473,30,0.460515048,1.130966434,A,Ammonium,30
479,NONE,0.791193209,0.092664144,30,0.60194778,0.980438638,AB,Ammonium,193
551,LDPE,0.745266129,0.092664144,30,0.5560207,0.934511558,B,Ammonium,193
379,PBS,0.830414672,0.092664144,30,0.641169243,1.019660102,AB,Ammonium,193
180,PLA,0.902701022,0.092664144,30,0.713455593,1.091946452,AB,Ammonium,193
279,PLA/PHA,1.154146387,0.092664144,30,0.964900958,1.343391817,A,Ammonium,193
380,NONE,32.27632295,1.404342851,30,29.47198545,35.2080869,A,Nitrate,5
280,LDPE,31.82565572,1.394504121,30,29.04141159,34.7373263,A,Nitrate,5
181,PBS,25.01715139,1.236374531,30,22.55585097,27.60587827,B,Nitrate,5
552,PLA,32.36345478,1.406237127,30,29.55524865,35.29908735,A,Nitrate,5
480,PLA/PHA,10.90022951,0.816110458,30,9.297222827,12.63066264,C,Nitrate,5
553,NONE,53.91046161,1.042405738,30,51.78158508,56.03933813,A,Nitrate,15
281,LDPE,49.68061961,1.042405738,30,47.55174308,51.80949613,AB,Nitrate,15
481,PBS,45.47613503,1.042405738,30,43.3472585,47.60501156,B,Nitrate,15
381,PLA,50.54105737,1.042405738,30,48.41218084,52.6699339,A,Nitrate,15
182,PLA/PHA,16.5168805,1.042405738,30,14.38800397,18.64575703,C,Nitrate,15
382,NONE,56.54076737,1.342338815,30,53.83257575,59.31541893,A,Nitrate,30
282,LDPE,53.68710572,1.308025755,30,51.04899072,56.39168066,A,Nitrate,30
183,PBS,46.68658758,1.219768364,30,44.22871822,49.21091689,B,Nitrate,30
554,PLA,56.92842738,1.346932688,30,54.21085382,59.71246088,A,Nitrate,30
482,PLA/PHA,10.40148115,0.5757433,30,9.258886439,11.6105358,C,Nitrate,30
283,NONE,124.6463582,5.329206992,30,114.0002472,135.7676325,A,Nitrate,193
184,LDPE,131.3952869,5.471579148,30,120.4584132,142.807324,A,Nitrate,193
483,PBS,125.9315,5.356609414,30,115.2294258,137.1087376,A,Nitrate,193
383,PLA,125.4726146,5.346840956,30,114.7904903,136.6299023,A,Nitrate,193
555,PLA/PHA,125.8978017,5.355892671,30,115.1971913,137.0735754,A,Nitrate,193
384,NONE,5.808520813,0.009803444,30,5.788516763,5.828559368,C,pH,5
556,LDPE,5.801591871,0.009797595,30,5.781599766,5.821618481,C,pH,5
185,PBS,5.899163565,0.009879639,30,5.879003902,5.919357733,B,pH,5
484,PLA,5.809959346,0.009804657,30,5.789952817,5.83000038,C,pH,5
284,PLA/PHA,6.551066672,0.010411226,30,6.529821364,6.572346486,A,pH,5
285,NONE,5.879352835,0.02793856,30,5.822433117,5.936549422,B,pH,15
186,LDPE,5.832593564,0.027827239,30,5.775901195,5.889562803,B,pH,15
557,PBS,5.823286005,0.027805027,30,5.766638999,5.880209881,B,pH,15
485,PLA,5.865291657,0.027905131,30,5.808440211,5.922419973,B,pH,15
385,PLA/PHA,6.75566022,0.029948368,30,6.694635928,6.816961382,A,pH,15
187,NONE,5.853643028,0.016285167,30,5.820431523,5.886949017,C,pH,30
558,LDPE,5.815515007,0.016232043,30,5.782411994,5.848712502,C,pH,30
486,PBS,5.826746311,0.016247709,30,5.793611303,5.859975802,C,pH,30
386,PLA,5.959445176,0.016431681,30,5.925934448,5.993050388,B,pH,30
286,PLA/PHA,6.879876426,0.017655069,30,6.843867208,6.915980128,A,pH,30
387,NONE,5.5825,0.009937303,30,5.562205319,5.602794681,B,pH,193
287,LDPE,5.54,0.009937303,30,5.519705319,5.560294681,C,pH,193
188,PBS,5.52625,0.009937303,30,5.505955319,5.546544681,C,pH,193
559,PLA,5.51125,0.009937303,30,5.490955319,5.531544681,C,pH,193
487,PLA/PHA,6.395,0.009937303,30,6.374705319,6.415294681,A,pH,193
388,LDPE,1.525041504,0.046319653,24,1.429442439,1.620640568,B,SOC_std,5
488,PBS,2.07590882,0.046319653,24,1.980309755,2.171507885,A,SOC_std,5
189,PLA,2.103940611,0.046319653,24,2.008341546,2.199539676,A,SOC_std,5
288,PLA/PHA,2.090057988,0.046319653,24,1.994458923,2.185657053,A,SOC_std,5
389,LDPE,1.595205893,0.027313477,24,1.538833648,1.651578138,C,SOC_std,15
489,PBS,1.949083731,0.027313477,24,1.892711485,2.005455976,B,SOC_std,15
190,PLA,2.120926004,0.027313477,24,2.064553758,2.177298249,A,SOC_std,15
289,PLA/PHA,1.995633242,0.027313477,24,1.939260997,2.052005487,B,SOC_std,15
490,LDPE,1.438188583,0.016721596,24,1.403676905,1.472700261,C,SOC_std,30
390,PBS,1.789183552,0.016721596,24,1.754671874,1.82369523,B,SOC_std,30
290,PLA,1.829676478,0.016721596,24,1.7951648,1.864188156,B,SOC_std,30
191,PLA/PHA,1.913259901,0.016721596,24,1.878748223,1.947771579,A,SOC_std,30
391,LDPE,1.540714211,0.021755767,24,1.495812516,1.585615907,D,SOC_std,193
491,PBS,1.819241657,0.021755767,24,1.774339961,1.864143352,B,SOC_std,193
192,PLA,2.037247967,0.021755767,24,1.992346271,2.082149662,A,SOC_std,193
291,PLA/PHA,1.686931862,0.021755767,24,1.642030167,1.731833558,C,SOC_std,193
