,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
112,PLA/PHA,1686.860645,19.54135928,30,1647.187912,1727.005471,A,cumulative_CO2_plastic,193
512,NONE,6.85E-32,3.97E-17,30,0,0.023968186,C,daily_CO2_plastic,5
212,LDPE,0.092518652,0.046115672,30,0.02230607,0.210667605,C,daily_CO2_plastic,5
412,PBS,1.704836942,0.197959032,30,1.32451885,2.133091406,B,daily_CO2_plastic,5
312,PLA,0.012890034,0.017213173,30,0,0.072012207,C,daily_CO2_plastic,5
113,PLA/PHA,23.19690947,0.730211992,30,21.72958582,24.7121695,A,daily_CO2_plastic,5
513,NONE,0,0,30,0,0.009266699,D,daily_CO2_plastic,15
213,LDPE,0.30825302,0.052339855,30,0.210627475,0.424411962,C,daily_CO2_plastic,15
413,PBS,0.743911904,0.081309183,30,0.587123098,0.919234108,B,daily_CO2_plastic,15
313,PLA,0.001069071,0.003082352,30,0,0.016630773,D,daily_CO2_plastic,15
114,PLA/PHA,16.09629281,0.378217635,30,15.33313605,16.87798296,A,daily_CO2_plastic,15
514,NONE,0,0,30,0,0.007518229,D,daily_CO2_plastic,30
214,LDPE,0.119003513,0.029292334,30,0.066698815,0.186344669,C,daily_CO2_plastic,30
414,PBS,0.466991742,0.058026809,30,0.356003418,0.593016524,B,daily_CO2_plastic,30
314,PLA,0.011400696,0.009066502,30,0.000402657,0.037435192,D,daily_CO2_plastic,30
115,PLA/PHA,14.57968762,0.324226266,30,13.92504747,15.24936422,A,daily_CO2_plastic,30
515,NONE,0,0,30,0,0.009054124,D,daily_CO2_plastic,193
215,LDPE,0.044533393,0.019664478,30,0.013427295,0.093747738,C,daily_CO2_plastic,193
415,PBS,0.185914014,0.040178674,30,0.11291234,0.277023937,B,daily_CO2_plastic,193
315,PLA,0.018485167,0.012669259,30,0.001665212,0.053413369,CD,daily_CO2_plastic,193
116,PLA/PHA,3.123482858,0.164686916,30,2.796201431,3.468872534,A,daily_CO2_plastic,193
516,NONE,44.83080822,1.040930655,30,42.73014618,46.98187419,C,cumulative_CO2_native,5
316,LDPE,45.34416359,1.046873513,30,43.23136461,47.5073665,C,cumulative_CO2_native,5
216,PBS,62.34440863,1.227530436,30,59.86265899,64.87656219,B,cumulative_CO2_native,5
416,PLA,47.58101106,1.072384053,30,45.41611261,49.79631344,C,cumulative_CO2_native,5
117,PLA/PHA,107.973009,1.615441057,30,104.6990402,111.2973817,A,cumulative_CO2_native,5
317,NONE,113.5878531,2.276810068,30,108.9379866,118.2377196,C,cumulative_CO2_native,15
517,LDPE,112.9541712,2.276810068,30,108.3043047,117.6040377,C,cumulative_CO2_native,15
118,PBS,143.7901603,2.276810068,30,139.1402938,148.4400268,B,cumulative_CO2_native,15
417,PLA,118.2436863,2.276810068,30,113.5938198,122.8935528,C,cumulative_CO2_native,15
217,PLA/PHA,225.692999,2.276810068,30,221.0431326,230.3428655,A,cumulative_CO2_native,15
318,NONE,202.331469,3.179809179,30,195.8374323,208.8255057,C,cumulative_CO2_native,30
518,LDPE,199.4005535,3.179809179,30,192.9065168,205.8945902,C,cumulative_CO2_native,30
119,PBS,241.854662,3.179809179,30,235.3606253,248.3486987,B,cumulative_CO2_native,30
418,PLA,209.5251196,3.179809179,30,203.0310829,216.0191563,C,cumulative_CO2_native,30
218,PLA/PHA,361.5538797,3.179809179,30,355.059843,368.0479164,A,cumulative_CO2_native,30
319,NONE,786.0227452,10.51335766,30,764.5516044,807.4938859,C,cumulative_CO2_native,193
519,LDPE,740.5939066,10.51335766,30,719.1227658,762.0650474,D,cumulative_CO2_native,193
120,PBS,859.164873,10.51335766,30,837.6937322,880.6360137,B,cumulative_CO2_native,193
419,PLA,794.8336944,10.51335766,30,773.3625536,816.3048351,C,cumulative_CO2_native,193
219,PLA/PHA,1157.396512,10.51335766,30,1135.925371,1178.867653,A,cumulative_CO2_native,193
520,NONE,8.05273712,0.226901913,30,7.589341592,8.516132647,C,daily_CO2_native,5
320,LDPE,8.271547536,0.226901913,30,7.808152008,8.734943064,C,daily_CO2_native,5
220,PBS,10.51122689,0.226901913,30,10.04783136,10.97462242,B,daily_CO2_native,5
420,PLA,8.39281518,0.226901913,30,7.929419652,8.856210707,C,daily_CO2_native,5
121,PLA/PHA,16.80530336,0.226901913,30,16.34190784,17.26869889,A,daily_CO2_native,5
321,NONE,6.426085949,0.096496844,30,6.229013103,6.623158796,C,daily_CO2_native,15
521,LDPE,5.984389955,0.096496844,30,5.787317109,6.181462802,D,daily_CO2_native,15
122,PBS,7.291501977,0.096496844,30,7.094429131,7.488574823,B,daily_CO2_native,15
421,PLA,6.610444197,0.096496844,30,6.41337135,6.807517043,C,daily_CO2_native,15
221,PLA/PHA,9.894886191,0.096496844,30,9.697813345,10.09195904,A,daily_CO2_native,15
322,NONE,5.430731892,0.068640083,30,5.290550142,5.570913643,C,daily_CO2_native,30
522,LDPE,5.361011903,0.068640083,30,5.220830153,5.501193654,C,daily_CO2_native,30
123,PBS,6.177813281,0.068640083,30,6.037631531,6.317995032,B,daily_CO2_native,30
422,PLA,5.576610719,0.068640083,30,5.436428968,5.716792469,C,daily_CO2_native,30
222,PLA/PHA,8.239602726,0.068640083,30,8.099420975,8.379784476,A,daily_CO2_native,30
124,NONE,2.719009687,0.102016426,30,2.510664351,2.927355024,B,daily_CO2_native,193
523,LDPE,2.341716399,0.102016426,30,2.133371062,2.550061735,B,daily_CO2_native,193
423,PBS,2.655724894,0.102016426,30,2.447379558,2.86407023,B,daily_CO2_native,193
323,PLA,2.729261319,0.102016426,30,2.520915983,2.937606656,B,daily_CO2_native,193
223,PLA/PHA,3.609790074,0.102016426,30,3.401444737,3.81813541,A,daily_CO2_native,193
424,LDPE,1.327847031,0.192346885,19,0.925260373,1.730433689,C,cumulative_priming,5
324,PBS,2.586200504,0.117787931,19,2.339667532,2.832733477,B,cumulative_priming,5
