"Tube","Date","Plastic","Nitrogen","CO2Flux","CO2Flux_plastic","daily_CO2","daily_CO2_plastic","daily_CO2_native","cumulative_CO2","cumulative_CO2_plastic","cumulative_CO2_native"
127,2023-06-13,"LDPE","N0",NA,NA,3.33398935057307,0,3.33398935057307,583.407835635271,27.7091386611582,555.698696974113
127,2023-06-14,"LDPE","N0",NA,NA,3.33127789232206,0,3.33127789232206,586.739113527593,27.7091386611582,559.029974866435
127,2023-06-15,"LDPE","N0",NA,NA,3.32856643407105,0,3.32856643407105,590.067679961664,27.7091386611582,562.358541300506
127,2023-06-16,"LDPE","N0",NA,NA,3.32585497582004,0,3.32585497582004,593.393534937484,27.7091386611582,565.684396276326
127,2023-06-17,"LDPE","N0",NA,NA,3.32314351756903,0,3.32314351756903,596.716678455054,27.7091386611582,569.007539793895
127,2023-06-18,"LDPE","N0",NA,NA,3.32043205931802,0,3.32043205931802,600.037110514372,27.7091386611582,572.327971853213
127,2023-06-19,"LDPE","N0",NA,NA,3.31772060106701,0,3.31772060106701,603.354831115439,27.7091386611582,575.64569245428
127,2023-06-20,"LDPE","N0",NA,NA,3.315009142816,0,3.315009142816,606.669840258254,27.7091386611582,578.960701597096
127,2023-06-21,"LDPE","N0",NA,NA,3.31229768456499,0,3.31229768456499,609.982137942819,27.7091386611582,582.272999281661
127,2023-06-22,"LDPE","N0",NA,NA,3.30958622631398,0,3.30958622631398,613.291724169133,27.7091386611582,585.582585507975
127,2023-06-23,"LDPE","N0",0.13778644866929,0,3.30687476806297,0,3.30687476806297,616.598598937196,27.7091386611582,588.889460276038
127,2023-06-24,"LDPE","N0",NA,NA,3.34777772220516,0.0142559343888689,3.33352178781629,619.946376659402,27.723394595547,592.222982063855
127,2023-06-25,"LDPE","N0",NA,NA,3.38868067634735,0.0285118687777378,3.36016880756962,623.335057335749,27.7519064643248,595.583150871424
127,2023-06-26,"LDPE","N0",NA,NA,3.42958363048955,0.0427678031666066,3.38681582732294,626.764640966239,27.7946742674914,598.969966698747
127,2023-06-27,"LDPE","N0",NA,NA,3.47048658463174,0.0570237375554755,3.41346284707626,630.23512755087,27.8516980050469,602.383429545823
127,2023-06-28,"LDPE","N0",NA,NA,3.51138953877393,0.0712796719443444,3.44010986682959,633.746517089644,27.9229776769912,605.823539412653
127,2023-06-29,"LDPE","N0",NA,NA,3.55229249291612,0.0855356063332133,3.46675688658291,637.29880958256,28.0085132833244,609.290296299236
127,2023-06-30,"LDPE","N0",NA,NA,3.59319544705831,0.0997915407220822,3.49340390633623,640.892005029619,28.1083048240465,612.783700205572
127,2023-07-01,"LDPE","N0",NA,NA,3.63409840120051,0.114047475110951,3.52005092608955,644.526103430819,28.2223522991574,616.303751131662
127,2023-07-02,"LDPE","N0",NA,NA,3.6750013553427,0.12830340949982,3.54669794584288,648.201104786162,28.3506557086573,619.850449077505
127,2023-07-03,"LDPE","N0",NA,NA,3.71590430948489,0.142559343888689,3.5733449655962,651.917009095647,28.493215052546,623.423794043101
127,2023-07-04,"LDPE","N0",NA,NA,3.75680726362708,0.156815278277558,3.59999198534952,655.673816359274,28.6500303308235,627.02378602845
127,2023-07-05,"LDPE","N0",NA,NA,3.79771021776927,0.171071212666427,3.62663900510285,659.471526577043,28.8211015434899,630.650425033553
127,2023-07-06,"LDPE","N0",0.159942215496311,0.00772196446063731,3.83861317191147,0.185327147055295,3.65328602485617,663.310139748954,29.0064286905452,634.303711058409
127,2023-07-07,"LDPE","N0",NA,NA,3.68699742126287,0.231964815602121,3.45503260566075,666.997137170217,29.2383935061474,637.75874366407
127,2023-07-08,"LDPE","N0",NA,NA,3.53538167061428,0.278602484148947,3.25677918646533,670.532518840832,29.5169959902963,641.015522850535
127,2023-07-09,"LDPE","N0",NA,NA,3.38376591996569,0.325240152695772,3.05852576726992,673.916284760797,29.8422361429921,644.074048617805
127,2023-07-10,"LDPE","N0",NA,NA,3.23215016931709,0.371877821242598,2.8602723480745,677.148434930114,30.2141139642347,646.93432096588
127,2023-07-11,"LDPE","N0",NA,NA,3.0805344186685,0.418515489789423,2.66201892887908,680.228969348783,30.6326294540241,649.596339894759
127,2023-07-12,"LDPE","N0",NA,NA,2.92891866801991,0.465153158336249,2.46376550968366,683.157888016803,31.0977826123603,652.060105404443
127,2023-07-13,"LDPE","N0",NA,NA,2.77730291737132,0.511790826883074,2.26551209048824,685.935190934174,31.6095734392434,654.325617494931
127,2023-07-14,"LDPE","N0",NA,NA,2.62568716672272,0.5584284954299,2.06725867129282,688.560878100897,32.1680019346733,656.392876166224
127,2023-07-15,"LDPE","N0",NA,NA,2.47407141607413,0.605066163976725,1.8690052520974,691.034949516971,32.77306809865,658.261881418321
127,2023-07-16,"LDPE","N0",NA,NA,2.32245566542554,0.651703832523551,1.67075183290199,693.357405182397,33.4247719311736,659.932633251223
127,2023-07-17,"LDPE","N0",NA,NA,2.17083991477694,0.698341501070376,1.47249841370657,695.528245097174,34.123113432244,661.40513166493
127,2023-07-18,"LDPE","N0",NA,NA,2.01922416412835,0.744979169617202,1.27424499451115,697.547469261302,34.8680926018612,662.679376659441
127,2023-07-19,"LDPE","N0",NA,NA,1.86760841347976,0.791616838164028,1.07599157531573,699.415077674782,35.6597094400252,663.755368234756
127,2023-07-20,"LDPE","N0",0.0714996942846319,0.0349272711129522,1.71599266283117,0.838254506710853,0.877738156120313,701.131070337613,36.4979639467361,664.633106390877
127,2023-07-21,"LDPE","N0",NA,NA,1.71613882963402,0.78237087293013,0.933767956703895,702.847209167247,37.2803348196662,665.566874347581
127,2023-07-22,"LDPE","N0",NA,NA,1.71628499643688,0.726487239149406,0.989797757287477,704.563494163684,38.0068220588156,666.556672104868
127,2023-07-23,"LDPE","N0",NA,NA,1.71643116323974,0.670603605368682,1.04582755787106,706.279925326923,38.6774256641843,667.602499662739
127,2023-07-24,"LDPE","N0",NA,NA,1.7165773300426,0.614719971587959,1.10185735845464,707.996502656966,39.2921456357722,668.704357021194
127,2023-07-25,"LDPE","N0",NA,NA,1.71672349684546,0.558836337807235,1.15788715903822,709.713226153812,39.8509819735795,669.862244180232
127,2023-07-26,"LDPE","N0",NA,NA,1.71686966364832,0.502952704026512,1.21391695962181,711.43009581746,40.353934677606,671.076161139854
127,2023-07-27,"LDPE","N0",NA,NA,1.71701583045118,0.447069070245788,1.26994676020539,713.147111647911,40.8010037478518,672.346107900059
127,2023-07-28,"LDPE","N0",NA,NA,1.71716199725404,0.391185436465065,1.32597656078897,714.864273645165,41.1921891843168,673.672084460848
127,2023-07-29,"LDPE","N0",NA,NA,1.71730816405689,0.335301802684341,1.38200636137255,716.581581809222,41.5274909870012,675.054090822221
