"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"67",67,67,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",51.5190780426405,57.5047298973665,86.2607465918653,1.97851931125713,5.6,62.618475875968,29.0740517863814,29.3269366839542,13.8193255932599,0.1,2.753,-30.874120185374,15,105.511853255609,"2",NA,17.2274,1.59803568733529
"68",68,68,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",60.9076877689397,73.542481934427,81.4177206309431,1.56285692340372,5.47,62.659983554775,30.969556618956,29.9668695312695,18.5757757876209,0.12,2.153,-22.5607210389759,15,112.205315961352,"2",NA,11.1866666666667,1.9246126340882
"69",69,69,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",65.9272806428294,468.35366593754,30.5600395440612,0.0308664793485469,6.48,110.814335588839,49.7193908994574,212.449876049566,26.7438315053339,0.12,1.913,-20.4833831071897,15,187.27755799363,"2",NA,9.43873333333334,2.02675500243677
"70",70,70,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",56.5204307993825,55.8971774290941,88.0580822517236,1.88090056504161,5.74,69.0782552731109,30.3379838277636,29.6090424407272,14.57524180243,0.121,2.06,-19.7912744148654,15,113.991480903304,"2",NA,10.0086,2.05822992226685
"71",71,71,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",59.2830081128748,63.7791210215846,88.4534296800824,2.12703109299568,5.63,68.5781132625773,31.1069106893252,32.0095687671541,16.6526103256389,0.118,1.129,-26.0688216768242,15,116.337634277541,"3",NA,0,NA
"72",72,72,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",54.7678906442577,67.6445105694372,75.661414653737,2.24218240464494,5.57,71.4541457577429,34.5481445172126,30.608105631967,15.8099981919985,0.127,2.916,-31.3395733995102,15,121.812288466954,"3",NA,17.2274,1.692652402568
"73",73,73,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",58.0629844563076,71.5442178474596,81.9901313651671,1.5696114957027,5.41,72.6577051412114,32.7824916252741,35.1004034431302,17.5518438523922,0.121,2.264,-22.0709833093195,15,122.992040618878,"3",NA,11.1866666666667,2.0238379022646
"74",74,74,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",66.1378187331271,369.025337170912,32.7389517557411,0.11577854061084,6.48,115.933338115513,51.369653003321,239.124469401891,26.2834851915243,0.117,1.896,-20.2992255311619,15,193.586476310358,"3",NA,9.43873333333334,2.00874411114486
"75",75,75,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",51.2590899668902,57.8868834842186,83.047138859791,2.6165990591419,5.57,90.0883981286812,43.1565514589233,37.8796944007219,19.9823891601796,0.122,2.041,-18.5608589618444,15,153.227338747784,"3",NA,10.0086,2.03924624822653
"76",76,76,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",51.2131212520279,70.5211935127513,91.4105700652235,2.13545497851249,5.62,68.6498696470892,29.0599403866581,33.5496227386225,14.18420155918,0.119,1.125,-26.1609004648382,15,111.894011592927,"4",NA,0,NA
"77",77,77,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",52.9124486772487,48.8651389188678,83.8579348032501,1.21017741414478,5.42,76.3139433902807,34.4928861494887,31.3886815658076,15.7320380414698,0.101,2.807,-30.9459618771211,15,126.538867581239,"4",NA,17.2274,1.62938110219766
"78",78,78,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",70.9787550948523,44.876608032717,81.9364122661911,0.705076337918326,5.43,76.0609702491441,28.5307610619809,31.0179256179183,12.1383291805995,0.117,2.06,-21.2493572008878,15,116.730060491725,"4",NA,11.1866666666667,1.84147794994041
"79",79,79,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",47.4533233649332,387.571968206241,32.376527901492,0.01,6.52,124.206961301661,49.8665884717325,206.959694676514,26.8378413996043,0.118,1.863,-19.8934717510127,15,200.911391172998,"4",NA,9.43873333333334,1.97378179275468
"80",80,80,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",48.1317149081855,54.3707995093462,79.8722527015235,2.35524194335632,5.57,75.4710181907845,31.9696601471328,33.3046593921253,15.6472917245577,0.118,2.115,-18.6023450091914,15,123.087970062475,"4",NA,10.0086,2.1131826629099
"81",81,81,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",79.0719293039343,137.54091190658,28.0820279988724,0.264802104816493,6,80.1165419142352,34.7538973092918,40.3690698403772,17.5219836119594,0.109,1.106,-26.2642314162685,30,132.392422835486,"1",NA,0,NA
"82",82,82,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",69.4328918398635,123.71800803393,25.8718522839739,0.35230321291248,6.09,76.892648465096,32.0727138845348,44.6074811599425,16.0199322439535,0.116,2.411,-30.7097481845546,30,124.985294593584,"1",NA,17.2274,1.39951472654028
"83",83,83,"BSN0T3","PBS","N0","PBS-N0","T3","30D","BS",73.9381333798112,88.8165064037501,18.084187620465,0.0995826783798686,6.15,66.1346553045274,28.8134046083434,35.5959740470379,14.4688422659326,0.115,1.946,-22.4788590934911,30,109.416902178803,"1",NA,11.1866666666667,1.73957091775924
"84",84,84,"HAN0T3","PLA/PHA","N0","PLA/PHA-N0","T3","30D","HA",78.5671390788874,217.777493590619,0.0011,0.0996138125610097,7.25,104.947095519594,41.5050195290468,207.110034301996,21.79300195129,0.11,1.765,-20.3351751985705,30,168.245116999931,"1",NA,9.43873333333334,1.86995430177778
"85",85,85,"PLN0T3","PLA","N0","PLA-N0","T3","30D","PL",75.5384372448117,95.9767793050715,25.8560562460289,0.435449342208916,6.29,75.9116092485866,30.1268902693644,39.5486548575353,14.6113425366174,0.116,1.786,-19.9770442860921,30,120.649842054568,"1",NA,10.0086,1.78446535979058
"86",86,86,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",68.7191054586895,171.746180467236,26.9541513362192,1.10627390534462,6.02,75.9044948156749,32.1856191305179,37.1690083489691,16.485117789571,0.116,1.131,-26.2519876243889,30,124.575231735764,"2",NA,0,NA
"87",87,87,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",68.1480928921749,133.676103895044,18.9908090188424,0.868605848045804,6.1,71.9468441676349,30.127780945736,41.1931066433029,15.3939280864463,0.093,2.35,-31.0005382416952,30,117.468553199817,"2",NA,17.2274,1.36410601715871
