"","Jar No","Sample ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","13C"
"11",11,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",57.1234513026052,95.5153464703311,13.4944489807557,0.527331544351671,6.11,107.111914208252,43.6299105117275,41.0776797488812,19.6893587213055,0.109,1.111,-26.5454052939072
"12",12,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",60.7404560822764,118.550432890897,12.1065477999535,0.367259955184251,6.13,116.303707825088,46.3578608955564,46.9787983317205,21.8274498659812,0.109,2.421,-30.9601278445079
"13",13,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",69.3447731604057,87.4982042691347,6.26161268166354,0.198621529889937,6.33,120.88271255244,49.0297958804169,48.5487289768419,21.9783741775732,0.111,2.378,-21.6551109810369
"14",14,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",66.5516315918485,166.020286497968,0.566811418007304,0.622708720784706,6.94,63.9866230217201,27.5362712198897,132.968516682985,14.5562279097661,0.109,2.079,-19.2205883001419
"15",15,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",59.5637098303888,58.9575204350772,12.2334863538075,2.3277991437459,6.11,126.763622177513,53.0759711094125,44.442684289264,22.1057989213703,0.11,2.239,-18.7682891985791
"16",16,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",63.9298543778802,59.2985277134481,11.8680934071025,3.61863699264338,6.12,58.5872240976976,33.1903455659567,26.9602339287288,19.1552284826262,0.107,1.112,-26.3268446542258
"17",17,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",62.5811958090219,111.900186384459,10.6029336965623,0.874940625477984,6.14,57.8082187866088,29.1068986904936,27.8347149254016,15.1526657155867,0.091,2.77,-31.0997638087487
"18",18,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",67.3458617538939,91.1615814236902,5.50016195735438,1.15404354901755,6.3,59.9843925183392,24.4125160401296,24.7128336522622,14.1051967120209,0.108,2.401,-20.7717617289915
"19",19,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",64.842441388565,157.426908405674,5.01489412761773,0.95455181625321,6.9,63.5241993687652,25.7351041471757,131.751642375706,14.5309688972658,0.108,1.901,-20.4773119783096
"20",20,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",60.1365384807388,64.7032348167832,10.7688429703882,0.797533184110875,6.11,56.4798099831657,23.5593753613733,24.5127377588956,12.2745928078038,0.107,2.101,-18.8542968577129
"21",21,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",67.1569641851107,93.0294284768954,66.0930572854455,17.3336134470383,5.58,56.0370261064669,25.7389131383707,23.8148818650427,13.4653720054613,0.114,1.126,-26.2681570750521
"22",22,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",63.1893312418301,141.400535852758,64.3357788784847,14.5779102581105,5.48,57.859167134542,25.5787694065402,28.8229645683733,12.3699414521938,0.121,2.587,-31.5045057340846
"23",23,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",70.1351667399896,95.9781513076596,58.1234816276021,14.4348854925328,5.51,65.4714819684478,28.33493523664,26.0529845200088,14.0918018515491,0.12,1.925,-21.9272999258253
"24",24,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",74.8666442775824,330.910437115188,26.572547484835,1.34874651243385,6.23,62.6552787161234,25.6147828246405,124.131712082199,13.3806044371251,0.12,2.004,-20.2688698867617
"25",25,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",62.7427519589444,63.4977013691633,65.2592259050497,16.4785347915415,5.5,70.1275127154701,32.9304196100956,26.8697849726807,13.4290309917439,0.122,2.283,-19.0131580634073
"26",26,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",61.8442550538041,96.5589133889511,64.0122166038855,16.5510927961939,5.48,73.7426951562065,31.8050609718246,26.877854478434,13.7407084092953,0.116,1.124,-26.1376278041313
"27",27,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",60.9025020743884,122.418089872679,61.9549318480445,15.9636299310345,5.47,70.0881473475428,29.6320575049331,29.9890400388885,11.6599283741084,0.123,2.732,-31.5854541191517
"28",28,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",70.1080860008221,92.6615151019833,56.8826263296963,14.4958644092302,5.49,70.5689783372371,29.3785112220477,32.7635192291171,15.2061979603808,0.123,2.214,-21.5438069515696
"29",29,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",77.7838854251378,377.461079280745,34.8271772700473,1.99910577773434,6.19,64.7377400897615,26.2400460104451,122.481896603036,13.0096604455427,0.115,1.982,-20.0159061834268
"30",30,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",60.7259777985268,63.9220512501297,63.5248476785737,18.2985728642579,5.53,71.4335050793823,32.2427237730899,37.1099996685727,13.0399547905896,0.116,2.246,-19.9643015879465
"31",31,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",61.4507814783507,79.6532804673283,63.7675503740729,17.403135993724,5.49,97.7867248842172,44.0773970313862,25.577575928105,20.6754756097955,0.117,1.173,-26.1275092559979
"32",32,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",62.8133258339784,131.077634417777,63.643063242176,18.6743168585479,5.48,100.981139795724,38.5768573558075,27.0109410027973,19.9011231949566,0.097,2.538,-30.9995901822281
"33",33,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",64.9391833699548,99.0373341831743,56.8778033297122,12.8501382456538,5.5,107.4256029027,42.3509184667238,24.1814654118561,20.4815573038137,0.117,2.527,-20.8051529378317
"34",34,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",78.3042191296664,384.068011471976,35.6230809103917,2.20256186317639,6.23,60.8252501892961,27.1744959462486,118.76715176998,14.8956211238348,0.118,1.949,-20.3316048851887
"35",35,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",53.0647774728298,62.4730663581389,60.4848539040354,14.4751675756378,5.49,110.972284233732,45.9555345749103,26.1744635722855,20.8024065644442,0.119,2.027,-17.5267433426114
"36",36,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",63.1728639264157,118.437464586224,63.4646917330425,16.9789439466101,5.49,106.079596512093,46.3653277424924,29.4650628766039,21.3605241288677,0.112,1.101,-26.1942916736784
"37",37,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",63.8519086633088,112.586830664122,60.1905424447519,17.3747071155846,5.48,104.664733938074,46.1459453855603,29.3256807711099,20.5802902448877,0.096,2.565,-30.9095351038409
"38",38,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",65.4088326414903,104.859959186618,58.1300360571058,14.1169264816424,5.49,105.858746952679,47.0588416752494,28.3373341647509,19.7917447756166,0.117,2.072,-22.3310299963478
"39",39,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",76.2316609606806,332.033432351683,34.1411768636373,4.48145703620638,6.11,66.4392998954597,28.3695473207685,110.802684315807,14.5323221840314,0.12,1.93,-20.1707199698677
"40",40,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",46.7150522431195,131.792606351428,62.6065162195172,17.7437609712768,5.55,109.396982965718,46.0046556458348,29.7192766569343,21.5566876312443,0.117,1.916,-20.0331077152536
"41",41,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",59.4324789401325,66.1283916263974,17.0298856313857,0.933742352988009,5.85,109.424784578027,47.588454763403,32.7778909305349,22.6693367784054,0.107,1.108,-26.3015482838924
"42",42,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",51.1261436059572,80.2313593952433,13.0821078218876,1.26726662836276,6.14,118.588160966206,49.1628008655587,32.5912870449447,21.1040525569829,0.116,2.781,-30.9611396993212
"43",43,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",61.4223571579169,83.5395106994571,8.16814650915567,0.323948873655108,6.3,116.562766620083,50.4748564957108,37.4436141286101,22.8499470849068,0.109,2.08,-22.790412081604
"44",44,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",54.4965918784017,194.367084729496,0.0015,0.240618454242711,6.98,61.5467173254788,25.2695213098686,125.099843869543,14.556170656748,0.108,1.743,-20.4692171398029
"45",45,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",55.7625667550971,83.8679948453731,10.9862982208214,1.43700873842858,6.08,107.771147427753,47.6203950072233,35.4673991107339,20.1653701702845,0.116,2.194,-18.440448239057
"46",46,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",56.0132625632553,33.8161522921396,18.378632760612,0.666493972238859,6.14,81.6503290526632,36.425511980984,32.8309009273974,10.1659407780735,0.109,1.136,-26.3187498157191
"47",47,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",52.7479956488162,61.6991820434788,11.6635482308697,0.749260814373222,6.12,89.2840971374262,39.1587989406872,35.8374807302597,8.3866114382513,0.115,2.763,-31.2677317077631
"48",48,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",58.4920360242862,62.6589715717115,7.71529295849273,0.40777775757571,6.06,91.2850956441304,37.6709225498048,34.5026276308244,9.18168237418189,0.111,2.08,-22.6821436165766
"49",49,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",56.6141782735448,184.911832523701,0.0014,0.325746397107998,7.05,66.4636477080147,27.9888665940689,135.954384822456,15.0996542075256,0.114,1.905,-20.7252164075778
"50",50,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",59.9015814199696,63.7411813106207,18.5857906931561,1.52877115658686,6.11,82.8117001138687,36.1472692381186,35.3266253202762,9.10065165171008,0.109,2.111,-20.4368377857761
"51",51,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",58.4324942030358,72.6737530096627,17.1168589762113,0.32484535872139,6.14,83.545996032671,39.053368091028,40.4773789692068,9.30020857381221,0.111,1.158,-26.357200298626
"52",52,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",52.6009699143048,59.1208715276828,18.0410913840367,0.672969880279887,6.09,89.3275202136529,38.0487175657622,42.3012763599712,9.98308133392427,0.116,2.709,-31.1301194531489
"53",53,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",52.5920344600062,85.6556877259257,10.3770615859334,0.330705276874932,6.26,92.8514797300964,38.4387437436488,42.1029434051312,10.4550509506185,0.111,2.331,-21.4739889694491
"54",54,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",50.5140533250337,174.69555265069,1.95844301725418,0.32694448390304,7.08,70.0820758858732,29.5992966832544,135.343044356343,15.8151841146618,0.111,1.934,-20.6918251987376
"55",55,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",53.7479923809524,65.3988027061222,18.0971505343893,0.499845112168229,6.06,100.025703461286,40.5918213890898,42.8596021430947,8.81317870216187,0.109,2.094,-20.1221509388274
"56",56,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",50.1748145465975,83.8578415211948,19.2826351695341,0.586100159388315,6.13,110.645879198799,45.6540793223397,44.2794417724936,9.30401450771522,0.11,1.147,-26.3238090897858
"57",57,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",51.058515978836,72.6319421326955,19.012635323089,1.57286193015854,6.14,106.551934750487,43.0142004236963,39.4296286829613,7.961729419123,0.093,2.613,-31.0269102621883
"58",58,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",58.2413836006791,111.910393627859,10.7540756989687,0.412879271592688,6.26,120.265096681661,46.5664908718137,41.399319773573,8.8486858782216,0.109,2.321,-21.8868257332917
"59",59,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",54.3055585691066,169.694533869732,0.0013,0.760051411043566,7.07,68.2104863142839,31.0132266705101,139.135756272822,17.1341430545308,0.113,1.954,-20.5167743160299
"60",60,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",50.9018456394416,67.929724900421,17.7671325451743,0.283644439850209,6.1,109.838141766602,47.5691704334554,45.678270083552,9.18523344745967,0.111,2.143,-17.2161039149161
"61",61,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",61.1735356952381,66.1290874704405,89.7458623421604,2.54611773971581,5.82,65.904022830604,31.0097008767605,22.476604024156,15.0282905510165,0.119,1.135,-26.2175643343852
"62",62,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",53.5491584476142,67.0518356426367,89.8654780382645,2.86461972833744,5.61,70.9091628563171,30.0992143811575,26.7283491239779,14.0280399816478,0.125,2.643,-31.142261710909
"63",63,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",58.3220757855581,80.9865091319522,81.4502392432268,0.961557432522979,5.45,68.5251575165338,28.8858158145566,24.669265590703,16.460238504003,0.12,2.154,-21.4365503413556
"64",64,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",68.3836383197198,445.263233886198,34.4968817639766,0.372333400304772,6.41,110.298289126895,51.5691343685885,211.536560595443,27.7600175746805,0.117,1.861,-20.585580443337
"65",65,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",56.5161238409555,57.1849278854021,87.914613141112,2.03571439079042,5.71,65.0808163011458,28.6040469713746,25.3604116589817,13.8713372177444,0.122,2.224,-18.4202111427902
"66",66,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",61.1423552894212,58.6287068348273,89.8658182149933,2.38160676247198,5.72,63.056397739928,29.31745889021,25.8435303477183,15.4633052562678,0.117,1.112,-26.3764255400795
"67",67,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",51.5190780426405,57.5047298973665,86.2607465918653,1.97851931125713,5.6,62.618475875968,29.0740517863814,29.3269366839542,13.8193255932599,0.1,2.753,-30.874120185374
"68",68,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",60.9076877689397,73.542481934427,81.4177206309431,1.56285692340372,5.47,62.659983554775,30.969556618956,29.9668695312695,18.5757757876209,0.12,2.153,-22.5607210389759
"69",69,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",65.9272806428294,468.35366593754,30.5600395440612,0.0308664793485469,6.48,110.814335588839,49.7193908994574,212.449876049566,26.7438315053339,0.12,1.913,-20.4833831071897
"70",70,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",56.5204307993825,55.8971774290941,88.0580822517236,1.88090056504161,5.74,69.0782552731109,30.3379838277636,29.6090424407272,14.57524180243,0.121,2.06,-19.7912744148654
"71",71,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",59.2830081128748,63.7791210215846,88.4534296800824,2.12703109299568,5.63,68.5781132625773,31.1069106893252,32.0095687671541,16.6526103256389,0.118,1.129,-26.0688216768242
"72",72,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",54.7678906442577,67.6445105694372,75.661414653737,2.24218240464494,5.57,71.4541457577429,34.5481445172126,30.608105631967,15.8099981919985,0.127,2.916,-31.3395733995102
"73",73,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",58.0629844563076,71.5442178474596,81.9901313651671,1.5696114957027,5.41,72.6577051412114,32.7824916252741,35.1004034431302,17.5518438523922,0.121,2.264,-22.0709833093195
"74",74,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",66.1378187331271,369.025337170912,32.7389517557411,0.11577854061084,6.48,115.933338115513,51.369653003321,239.124469401891,26.2834851915243,0.117,1.896,-20.2992255311619
"75",75,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",51.2590899668902,57.8868834842186,83.047138859791,2.6165990591419,5.57,90.0883981286812,43.1565514589233,37.8796944007219,19.9823891601796,0.122,2.041,-18.5608589618444
"76",76,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",51.2131212520279,70.5211935127513,91.4105700652235,2.13545497851249,5.62,68.6498696470892,29.0599403866581,33.5496227386225,14.18420155918,0.119,1.125,-26.1609004648382
"77",77,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",52.9124486772487,48.8651389188678,83.8579348032501,1.21017741414478,5.42,76.3139433902807,34.4928861494887,31.3886815658076,15.7320380414698,0.101,2.807,-30.9459618771211
"78",78,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",70.9787550948523,44.876608032717,81.9364122661911,0.705076337918326,5.43,76.0609702491441,28.5307610619809,31.0179256179183,12.1383291805995,0.117,2.06,-21.2493572008878
"79",79,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",47.4533233649332,387.571968206241,32.376527901492,0.01,6.52,124.206961301661,49.8665884717325,206.959694676514,26.8378413996043,0.118,1.863,-19.8934717510127
"80",80,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",48.1317149081855,54.3707995093462,79.8722527015235,2.35524194335632,5.57,75.4710181907845,31.9696601471328,33.3046593921253,15.6472917245577,0.118,2.115,-18.6023450091914
"81",81,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",79.0719293039343,137.54091190658,28.0820279988724,0.264802104816493,6,80.1165419142352,34.7538973092918,40.3690698403772,17.5219836119594,0.109,1.106,-26.2642314162685
"82",82,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",69.4328918398635,123.71800803393,25.8718522839739,0.35230321291248,6.09,76.892648465096,32.0727138845348,44.6074811599425,16.0199322439535,0.116,2.411,-30.7097481845546
"83",83,"BSN0T3","PBS","N0","PBS-N0","T3","30D","BS",73.9381333798112,88.8165064037501,18.084187620465,0.0995826783798686,6.15,66.1346553045274,28.8134046083434,35.5959740470379,14.4688422659326,0.115,1.946,-22.4788590934911
"84",84,"HAN0T3","PLA/PHA","N0","PLA/PHA-N0","T3","30D","HA",78.5671390788874,217.777493590619,0.0011,0.0996138125610097,7.25,104.947095519594,41.5050195290468,207.110034301996,21.79300195129,0.11,1.765,-20.3351751985705
"85",85,"PLN0T3","PLA","N0","PLA-N0","T3","30D","PL",75.5384372448117,95.9767793050715,25.8560562460289,0.435449342208916,6.29,75.9116092485866,30.1268902693644,39.5486548575353,14.6113425366174,0.116,1.786,-19.9770442860921
"86",86,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",68.7191054586895,171.746180467236,26.9541513362192,1.10627390534462,6.02,75.9044948156749,32.1856191305179,37.1690083489691,16.485117789571,0.116,1.131,-26.2519876243889
"87",87,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",68.1480928921749,133.676103895044,18.9908090188424,0.868605848045804,6.1,71.9468441676349,30.127780945736,41.1931066433029,15.3939280864463,0.093,2.35,-31.0005382416952
"88",88,"BSN0T3","PBS","N0","PBS-N0","T3","30D","BS",70.2287272621641,91.7013542483661,17.9023513807128,0.860693296189732,6.17,74.2336286182078,29.7122992031974,39.067860530951,13.7217770139016,0.107,2.187,-21.1167372468852
"89",89,"HAN0T3","PLA/PHA","N0","PLA/PHA-N0","T3","30D","HA",81.0743040093138,264.855112587248,0.0013,0.76568327506942,7.09,105.781724596359,42.3781226844722,207.007473346172,22.2352033659418,0.112,1.758,-20.7433015945573
"90",90,"PLN0T3","PLA","N0","PLA-N0","T3","30D","PL",74.9236902903998,94.7603037371964,26.8697716175312,0.865585601192627,6.2,78.4337433906659,30.1809169895742,39.0262572161774,13.514202578055,0.115,1.779,-21.0442948115975
"91",91,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",70.3211652684637,113.520563332278,26.4473208798296,0.861819849556502,6.04,76.3900480483063,38.467102677229,42.3539599662201,20.3714506622629,0.111,1.103,-26.3917709150144
"92",92,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",66.8887599725588,138.170564598046,26.0304878391842,0.941337072536443,6.1,71.2450730844025,33.8842905567862,42.2460988039613,18.057847958282,0.094,2.395,-30.729134188364
"93",93,"BSN0T3","PBS","N0","PBS-N0","T3","30D","BS",73.1097011065813,92.8178210092418,18.7174244241742,1.0245151762637,6.15,73.4166341038293,32.8502901672831,35.3058554170238,20.9141025480936,0.112,2.08,-22.9471841328859
"94",94,"HAN0T3","PLA/PHA","N0","PLA/PHA-N0","T3","30D","HA",82.7645080097399,214.243211728822,0.712843713049671,2.04826178340245,7.18,106.824984058951,43.1489708463481,205.096299252382,22.3741215208147,0.113,1.777,-20.7290171706977
"95",95,"PLN0T3","PLA","N0","PLA-N0","T3","30D","PL",75.9487006963304,96.9318013525856,26.2140920360097,2.20706529538605,6.22,65.2018945434749,33.2828280700642,37.5436172455036,19.4049730816248,0.118,1.744,-21.5922044982098
"96",96,"CON0T3","NONE","N0","NONE-N0","T3","30D","CO",72.8844727428024,92.5224509757756,26.5783246807801,1.21151065413805,6.05,62.0446961138397,32.1828697530328,38.1119148171921,16.6762144191433,0.116,1.125,-26.3172878477468
"97",97,"LDN0T3","LDPE","N0","LDPE-N0","T3","30D","LD",72.1249537375891,141.559756792549,27.5364362837489,1.09205435529008,6.08,70.5551254850308,33.0049885568802,39.0358237101502,17.1375634390113,0.095,2.476,-30.9903350817955
"98",98,"BSN0T3","PBS","N0","PBS-N0","T3","30D","BS",75.400638713806,90.566393909854,19.8673090312088,1.04058208468195,6.15,58.4621500865505,27.4067660803633,37.8563129928413,16.2099269488808,0.113,2.038,-21.3861006682364
"99",99,"HAN0T3","PLA/PHA","N0","PLA/PHA-N0","T3","30D","HA",87.3995219421102,274.455677056638,1.26023215473565,1.11974299555583,7.29,104.889849800652,41.7980342057875,204.399525675502,21.7162565102481,0.113,1.822,-20.4667959612762
"100",100,"PLN0T3","PLA","N0","PLA-N0","T3","30D","PL",80.4713237171264,86.9052016599448,27.9830751016551,1.44509700574697,6.21,66.7876899997535,30.7432641856362,37.5146628566991,16.7219091337087,0.116,1.84,-20.5025070209251
"101",101,"CON1T3","NONE","N1","NONE-N1","T3","30D","CO",74.2798043044619,96.1759547870544,95.5742751716356,1.39209693290677,5.76,57.4489592260045,30.9071466373545,33.6702153525342,15.4695617643642,0.122,1.126,-26.650931176466
"102",102,"LDN1T3","LDPE","N1","LDPE-N1","T3","30D","LD",66.7481176181259,172.55203841303,95.1878281730666,0.557211843431936,5.52,56.6891949697663,28.601410637631,30.1683222172818,12.0962177826649,0.123,2.605,-31.1566465881602
"103",103,"BSN1T3","PBS","N1","PBS-N1","T3","30D","BS",70.1943241456172,105.340143129256,88.6668075320573,0.714414647762777,5.53,60.1172403242559,28.5441861271991,31.2271369616546,12.5692756504066,0.124,1.922,-23.592023838545
"104",104,"HAN1T3","PLA/PHA","N1","PLA/PHA-N1","T3","30D","HA",78.8188939622974,390.371071993953,34.9126861065067,0.569077572878114,6.62,108.030266701474,43.0769824860533,229.70147082266,23.6166029839301,0.12,1.793,-20.9422632126008
"105",105,"PLN1T3","PLA","N1","PLA-N1","T3","30D","PL",82.7540015549575,84.3381953673775,92.9217685130638,0.381432946206589,5.69,57.550065776466,30.9530166231388,35.3783198853009,14.3204957441566,0.123,1.946,-19.576060102035
"106",106,"CON1T3","NONE","N1","NONE-N1","T3","30D","CO",70.4922823356159,103.523388524198,100.110816319854,0.741050125903777,5.71,102.12879771785,46.2177480066363,30.8363586549283,19.7081985745952,0.115,1.062,-26.4478882944626
"107",107,"LDN1T3","LDPE","N1","LDPE-N1","T3","30D","LD",71.8114813276945,168.686039765591,92.745938135207,0.564575718361252,5.53,90.3890994610709,39.6165921006607,21.0328112163373,19.4843599751596,0.121,2.636,-31.254596923197
"108",108,"BSN1T3","PBS","N1","PBS-N1","T3","30D","BS",82.101782681191,89.9483045293935,84.7270789228261,0.474334072079283,5.51,93.6383567125314,49.0319606184159,24.206582540578,20.7877360173384,0.122,1.923,-22.049306061715
"109",109,"HAN1T3","PLA/PHA","N1","PLA/PHA-N1","T3","30D","HA",78.5906192243324,299.464054736261,35.084198771,0.728988776631067,6.62,102.003487417404,40.9337927749433,224.565948558241,20.734671753529,0.124,1.841,-20.8290081377145
"110",110,"PLN1T3","PLA","N1","PLA-N1","T3","30D","PL",78.3079594636598,85.192003489355,93.2706496457786,0.224814216824767,5.75,94.3639153857922,45.8848213390337,23.0576635804246,19.8917751692824,0.125,1.849,-20.0168366097008
"111",111,"CON1T3","NONE","N1","NONE-N1","T3","30D","CO",74.5713194160374,94.0684262394594,93.3502468065493,0.225006073249356,5.66,87.3063590605931,36.9941587923905,25.888403771712,20.0056236368935,0.123,1.116,-26.5927731650379
"112",112,"LDN1T3","LDPE","N1","LDPE-N1","T3","30D","LD",74.4397861554103,139.402658584104,94.2470328273822,0.0583957732728191,5.55,81.819293399749,39.3200380438118,15.3632877746556,15.9454475980463,0.123,2.498,-31.1056307886618
"113",113,"BSN1T3","PBS","N1","PBS-N1","T3","30D","BS",79.7070209208424,94.872136158192,87.1236430800363,0.654088616391852,5.5,78.0722896744598,39.1136138365306,25.0637809578616,19.242074482956,0.125,1.975,-22.5308952089794
"114",114,"HAN1T3","PLA/PHA","N1","PLA/PHA-N1","T3","30D","HA",85.6224542072186,312.753925505064,35.5169442423217,0.477444499290474,6.56,98.8046028082872,41.0957707771522,222.939622550674,22.9433601137575,0.125,1.87,-20.8188049778148
